// UI
Main|Основное
Gameplay|Игровой Процесс
Bingo Mod Config|Конфигурация Бинго Мода
- Open Bingo HUD keybind|- Кнопка для открытия интерфейса Бинго
Which button opens/closes the Bingo grid in game|Какая кнопка показывает/убирает доску Бинго в игре
Keyboard -|Клавиатура -
Controller 1 -|Контроллер 1 -
Use map<LINE>input instead:|Заменить на<LINE>кнопку карты:
Quick reset keybind|- Кнопка быстрого сброса
Singleplayer team color|- Цвет команды в одиночной игре
Show tutorials|Показать туториалы
Play custom music in bingo menu|Проигрывать музыку в меню Бинго
Play custom music when game ends|Проигрывать музыку когда заканчивается игра
Play custom music when your team is losing|Проигрывать музыку когда ваша команда терпит неудачу
1:1 spectator board|1:1 доска наблюдателей
Leave Bingo board at same scale as gameplay while in board viewae mode|Сохранить масштаб доски Бинго таким же как и во время игры, при переходе в режим просмотра
Fill icon sprites|Заполнить иконки спрайтов
Discord Rich Presence|Статус Discord Rich Presence
Show Bingo as your Discord activity (restart to take effect)|Показывать Бинго как ваш Discord активность (требуется перезапуск для применения)
Bingo Gameplay Config|Конфигурация Игрового Процесса Бинго
Ripple eggs required for dial warp:|Яиц Ряби для цифербл. варпа:
Start with the Dial Warp perk fully charged:|Цифербл. варп заряжен с начала:
Which team's color to use in singleplayer|Какой цвет команды использовать в одиночной игре
Black|Чёрный
Blue|Синий
Cyan|Бирюзовый
Yellow|Жёлтый
Green|Зелёный
Hurricane|Ураган
Orange|Оранжевый
Pink|Розовый
Red|Красный
Indigo|Сапфировый
Peach|Персиковый
Blizzard|Метель
Board view|Просмотр доски

Dial Warp|Циферблатный Варп
Dial Warp (Ripple Egg Warp) is unlocked from the start. <LINE>Watcher Exclusive|Циферблатный Варп (Варп с яйцами Ряби) доступен с самого начала.<LINE>Эксклюзивно для Созерцателя
Bingo |Бинго 
Allowed |Разрешено 
  Lockout  <LINE> (no ties)  |  Локаут  <LINE> (без ничьи)   
   Lockout <LINE> (ties)    |   Локаут <LINE> (с ничьёй)    
Blackout |Блэкаут 
Disabled |Отключено 
Host decides |Решает хост
AVAILABLE: 1|ДОСТУПНО: 1
AVAILABLE: 0|ДОСТУПНО: 0
AVAILABLE: |ДОСТУПНО: 
CLOSE|ЗАКРЫТЬ
CANCEL|ОТМЕНА
MANUAL|РУКОВОДСТВО
Multiplayer|Сетевая Игра
Refresh|Обновить
Profiles|Профили
Config|Конфигурация
Bingo|Бинго
Expedition|Экспедиция
I'M<LINE>READY|Я<LINE>ГОТОВ
BEGIN|НАЧАТЬ
BINGO|БИНГО
CREATE|СОЗДАТЬ
STARTBINGO|НАЧАТЬ БИНГО
End Session|Закончить Сессию
Tally up|Подытожить
JOIN|ПРИСОЕДИНИТЬСЯ
UNLOAD|РАЗГРУЗИТЬ
unloaded|Разгружено
Bingo - Scheming|Бинго - План
<LINE>Save the game to Complete|<LINE>Сохраните игру чтобы Выполнить
Cycle complete, saving run data|Цикл завершён, сохранение данных забега
perkList|Список Привилегий
burdenList|Список Трудностей
unl-|Особые преймущества-
bur-|Инвентаризация-
PLAY<LINE>BINGO|ИГРАТЬ В<LINE>БИНГО
NEWBINGO|НОВОЕ<LINE>БИЕГО
CREDITS|СОЗДАТЕЛИ
Copy board|Копир. доску
Paste board|Встав. доску
QUITGAEM|ВЫЙТИ
lobbysettings|НАСТРОЙКИ ЛОББИ
createlobby|СОЗДАТЬ ЛОББИ
FRIENDS|ДРУЗЬЯ
Friends only: |Только друзья: 
Friends only: Yes|Только друзья: Да
Friends only: No|Только друзья: Нет
Require host's mods: |Требовать моды хоста: 
<hostName>'s lobby|Лобби <hostName>
Perks: |Привелегии: 
Burdens: |Трудности: 
Max Players: |Макс. Игроков: 
