// ========================================
// CREATURE TYPES
// ========================================
MothGrub|Larva de polilla
Barnacle|Percebe
SandGrub|Larva de arena
SkyWhale|Ballena celestial
RotLoach|Mastodonte putrefacto
RippleSpider|Araña de onda
IndigoLizard|Lagarto índigo
GrappleSnake|Serpiente de agarre
PeachLizard|Lagarto melocotón
BigSandGrub|Gusano de arena
AltSkyWhale|Ballena celestial
DrillCrab|Cangrejo perforador
SmallMoth|Polilla pequeña
Millipede|Milpiés
FireSprite|Duende de fuego
Tardigrade|Tardígrado
ScavengerTemplar|Carroñero templario
Frog|Rana
Rat|Rata
Angler|Rape
Loach|Locha
BigMoth|Polilla gigante
BoxWorm|Gusano de caja
Rattler|Agitahuesos
ScavengerDisciple|Carroñero discípulo
BlizzardLizard|Lagarto ventisca
BasiliskLizard|Lagarto basilisco
ScavengerKing|Carroñero líder
StowawayBug|Bichogancho
JungleLeech|Sanguijuela selvática
EelLizard|Lagarto anguila
AquaCenti|Acuípedo
Inspector|Inspector
Yeek|Yeek
FireBug|Bichofuego
SlugNPC|Cría de gato-babosa
MirosVulture|Buitre Miró
MotherSpider|Araña nodriza
SpitLizard|Lagarto caramelo
ZoopLizard|Lagarto fresa
TerrorLongLegs|Madre patilarga
ScavengerElite|Carroñero de élite
BigJelly|Medusa gigante
Spider|Arañipiés
BigEel|Leviatán
EggBug|Bichohuevo
GreenLizard|Lagarto verde
WhiteLizard|Lagarto blanco
BlackLizard|Lagarto negro
GarbageWorm|Gusano de la basura
TempleGuard|Guardián
VultureGrub|Larva de buitre
KingVulture|Buitre real
SmallCentipede|Ciempiés pequeño
YellowLizard|Lagarto amarillo
LanternMouse|Ratón Literna
RedCentipede|Ciempiés rojo
BrotherLongLegs|Hermano patilargo
SmallNeedleWorm|Cría de moscafideo
Fly|Mosca-murciélago
RedLizard|Lagarto rojo
PoleMimic|Planta de postes
MirosBird|Pájaro Miró
Centipede|Ciempiés
Centiwing|Cienalas
Scavenger|Carroñero
BigSpider|Araña gigante
PinkLizard|Lagarto rosa
BlueLizard|Lagarto azul
Salamander|Salamandra
CyanLizard|Lagarto cian
Leech|Sanguijuela
Snail|Caracol
Hazer|Calamar humeante
SeaLeech|Sanguijuela marina
TubeWorm|Gusano gancho
Overseer|Supervisor
DaddyLongLegs|Papá patilargo
TentaclePlant|Monstrualga
SpitterSpider|Araña escupidora
BigNeedleWorm|Moscafideo
Slugcat|Gato-babosa
Vulture|Buitre
CicadaA|Calamigarra
CicadaB|Calamigarra
JetFish|Impulpez
DropBug|Tijereta
Deer|Ciervo pluvial

// ========================================
// OBJECT TYPES
// ========================================
Pomegranate|Granada
GraffitiBomb|Bomba grafiti
FireSpriteLarva|Larva de duende de fuego
Boomerang|Bumerán
SingularityBomb|Bomba de singularidad
JokeRifle|Fusil de broma
GooieDuck|Frutacable
LillyPuck|Zanaloto
MoonCloak|Capa
DandelionPeach|Melocotón diente de león
GlowWeed|Hierba luminosa
EnergyCell|Batería de rarefacción
FireEgg|Huevo ígneo
Seed|Palomita
PuffBall|Bola de esporas
WaterNut|Fruta burbuja
Mushroom|Seta
ScavengerBomb|Granada
FirecrackerPlant|Petardo
Spear|Lanza
VultureMask|Máscara de buitre
DangleFruit|Fruta azul
KarmaFlower|Flor de karma
BubbleGrass|Hierba burbuja
SeedCob|Planta de palomitas
Lantern|Farol
FlyLure|Hierba de mosca-murciélagos
SporePlant|Colmena
NSHSwarmer|Neurona verde
SLOracleSwarmer|Neurona
SSOracleSwarmer|Neurona
OverseerCarcass|Ojo de supervisor
FlareBomb|Granada cegadora
DataPearl|Perla
JellyFish|Medusa
SlimeMold|Hongo baboso
EggBugEgg|Huevo de bichohuevo
NeedleEgg|Huevo de moscafideo
Rock|Roca

// ========================================
// CHALLENGE CATEGORY NAMES
// ========================================
Avoiding a region|Evitar una región
Avoiding death before completing challenges|Evitar morir antes de completar desafíos
Avoiding giving Needles to Scavengers|Evitar dar Agujas a los Carroñeros
Avoiding items|Evitar objetos
Avoiding killing creatures|Evitar matar criaturas
Befriending creatures|Hacer amistad con criaturas
Collecting arena unlocks|Recolectar desbloqueos de arena
Collecting broadcasts|Recolectar transmisiones
Collecting or delivering Moon's cloak|Recolectar o entregar la Capa de Miras a la Luna
Collecting pearls|Recolectar perlas
Collecting ripplespawn eggs|Recolectar huevos de ripplespawn
Collecting vistas|Recolectar vistas
Consuming karma flowers|Consumir flores de karma
Crafting items|Fabricar objetos
Crushing creatures|Aplastar criaturas
Delivering colored pearls|Entregar perlas de colores
Delivering neurons|Entregar neuronas
Delivering the green neuron|Entregar la neurona verde
Delivering the music pearl to Five Pebbles|Entregar la perla de música a Cinco Guijarros
Dodging a Leviathan|Esquivar un Leviatán
Dodging Noodlefly attacks|Esquivar ataques de Moscafideo
Dropping a creature in the depth pit|Tirar una criatura en el pozo de las profundidades
Eating popcorn plant seeds|Comer semillas de planta de palomita
Eating specific food|Comer comida específica
Entering a region|Entrar a una región
Entering a region from another region|Entrar a una región desde otra región
Entering regions without visiting one|Entrar a regiones sin visitar una
Feeding the Rarefaction Cell to a Leviathan|Alimentar la Bateria de Rarefacción a un Leviatán
Getting licked by lizards|Ser lamido por lagartijas
Hatching Moth Grubs|Incubar Larvas de Polilla
Hatching Noodlefly eggs|Incubar huevos de Moscafideo
Hitting creatures with items|Golpear criaturas con objetos
Killing creatures|Matar criaturas
Mauling creatures a certain amount of times|Desgarrar criaturas cierta cantidad de veces
Mauling different types of creatures|Desgarrar diferentes tipos de criaturas
Obtaining passages|Obtener pasajes
Opening pomegranates|Abrir granadas
Opening popcorn plants|Abrir plantas palomitas
Pinning creatures|Clavar criaturas
Putting items in shelters|Poner objetos en refugios
Putting pearls in shelters|Poner perlas en refugios
Scoring points|Anotar puntos
Stealing items|Robar objetos
Throwing grenades at scavenger tolls|Lanzar granadas a peajes de carroñeros
Trading items to merchants|Comerciar objetos con mercaderes
Trading same items between merchants|Comerciar los mismos objetos entre mercaderes
Transporting creatures|Transportar criaturas
Transporting the same creature through gates|Transportar la misma criatura a través de puertas
Transporting the same creature through portals|Transportar la misma criatura a través de portales
Visiting echoes|Visitar ecos
Visiting iterators|Visitar iteradores
Visiting Spinning Top|Visitar a Peonza
Visiting The Prince|Visitar al Príncipe
Visiting The Weaver|Visitar al Tejedor

// ========================================
// CHALLENGE DESCRIPTIONS 
// ========================================
[<current>/<amount>] unique tolls|[<current>/<amount>] peajes únicos
<action> [<current>/<amount>] <target_item> <shelter_type> shelter <location>|<action> [<current>/<amount>] <target_item> <shelter_type> refugio <location>
Befriend [<current>/<amount>] <crit>|Hacer amistad con [<current>/<amount>] <crit>
Befriend [<current>/<amount>] unique creature types|Hacer amistad con [<current>/<amount>] tipos únicos de criaturas
Collect Moon's Cloak|Recolectar la Capa de Moon
Collect [<current>/<amount>] colored pearls|Recolectar [<current>/<amount>] perlas de colores
Collect [<current>/<amount>] ripplespawn eggs <onecycle>|Recolectar [<current>/<amount>] huevos de ciclo <onecycle>
Collect the <chatlog> broadcast|Recolectar la transmisión <chatlog>
Collect the <pearl> pearl from <region>|Recolectar la perla <pearl> de <region>
Collect the <unlock> unlock|Recolectar el desbloqueo de <unlock>
Collect the vista in <region_name>|Recolectar la vista en <region_name>
Consume [<current>/<amount>] Karma Flowers <region> <onecycle>|Consumir [<current>/<amount>] Flores de Karma en <region> <onecycle>
Craft [<current>/<amount>] <item>|Fabricar [<current>/<amount>] <item>
Crush [<current>/<amount>] unique creatures by falling|Aplastar [<current>/<amount>] criaturas únicas al caer
Deliver <progress> neurons to Looks to the Moon|Entregar <progress> neuronas a Miras a la Luna
Deliver the Cloak to Moon|Entregar la Capa a Moon
Deliver the <region> colored pearl to <iterator>|Entregar la perla colorida de <region> a <iterator>

// I dont like the name but is the rain world style, NOOOOOOOOO T__T
Deliver the music pearl to Five Pebbles|Entregar la perla de música a Cinco Guijarros
Do not die before completing [<current>/<amount>] bingo challenges|No morir antes de completar [<current>/<amount>] desafíos de bingo
Do not enter <region>|No entrar a <region>
Do not gift Needles to Scavengers|No regalar Agujas a los Carroñeros
Dodge [<current>/<amount>] Noodlefly attacks|Esquivar [<current>/<amount>] ataques de una Moscafideo
Dodge a Leviathan's bite|Esquivar la mordida de un Leviatán
Drop a <crit> into the depths drop room (SB_D06)|Dejar caer un <crit> en la sala de caída de las profundidades (SB_D06)
Earn [<current_score>/<score_target>] points from creature kills <onecycle>|Ganar [<current_score>/<score_target>] puntos por matar criaturas <onecycle>
Earn <achievement_name> passage|Obtener el pasaje <achievement_name>
Eat [<current>/<amount>] <food_type> <starved>|Comer [<current>/<amount>] <food_type> <starved>
Eat [<current>/<amount>] popcorn plant seeds|Comer [<current>/<amount>] semillas de plantas palomitas
Enter <region>|Entrar a <region>
Enter [<current>/<required>] regions without entering <region>|Entrar a [<current>/<required>] regiones sin visitar <region>
Hit <crit> with <weapon> [<current>/<amount>] times<location><onecycle>|Golpear <crit> con <weapon> [<current>/<amount>] veces<location><onecycle>
Feed the Rarefaction Cell to a Leviathan (completes if you die)|Alimentar a un Leviatán con una Batería de Rarefacción (se completa si mueres)
First time entering <to> must be from <from>|La primera vez que entres a <to> debe ser desde <from>
Get licked by [<current>/<amount>] unique lizards|Ser lamido por [<current>/<amount>] lagartijas únicas
Hatch [<current>/<amount>] Moth Grubs <onecycle>|Incubar [<current>/<amount>] Larvas de Polilla <onecycle>
Hatch [<current>/<amount>] Noodlefly eggs <region> <onecycle>|Incubar [<current>/<amount>] huevos de Moscafideo <region> <onecycle>
Kill [<current>/<amount>] <crit><location><pitorweapon><starving><onecycle><shrooms>|Matar [<current>/<amount>] <crit><location><pitorweapon><starving><onecycle><shrooms>
Maul [<current>/<amount>] unique creature types|Desgarrar [<current>/<amount>] tipos únicos de criaturas
Maul creatures [<current>/<amount>] times|Desgarrar criaturas [<current>/<amount>] veces
Never eat <item>|Nunca comer <item>
Never kill <victim>|Nunca matar <victim>
Never use <item>|Nunca usar <item>
Open [<current>/<amount>] pomegranates <region> <onecycle>|Abrir [<current>/<amount>] granadas <region> <onecycle>
Open [<current>/<amount>] popcorn plants<region><onecycle>|Abrir [<current>/<amount>] plantas palomitas<region><onecycle>
Pin [<current_pin>/<pin_amount>] <crit> to walls or floors<region>|Clavar [<current_pin>/<pin_amount>] <crit> a paredes o pisos<region>
Steal [<current>/<amount>] <item> from a Scavenger toll|Robar [<current>/<amount>] <item> de un peaje de Carroñeros
Steal [<current>/<amount>] <item> from Scavengers|Robar [<current>/<amount>] <item> de los Carroñeros
the <toll> toll|el peaje <toll>
Throw <action> at <toll><pass>|Lanzar <action> a <toll><pass>
Trade [<current>/<amount>] worth of value to Scavenger Merchants|Comerciar [<current>/<amount>] de valor con Mercaderes Carroñeros
Trade [<current>/<amount>] item from Scavenger Merchants to other Scavenger Merchants|Comerciar [<current>/<amount>] objeto de Mercaderes Carroñeros a otros Mercaderes Carroñeros
Trade [<current>/<amount>] items from Scavenger Merchants to other Scavenger Merchants|Comerciar [<current>/<amount>] objetos de Mercaderes Carroñeros a otros Mercaderes Carroñeros
Transport a <crit><from><to>|Transportar un <crit><from><to>
Transport the same <crit> through [<current>/<amount>] gates|Transportar el mismo <crit> a través de [<current>/<amount>] puertas
Transport the same <crit> through [<current>/<amount>] portals|Transportar el mismo <crit> a través de [<current>/<amount>] portales
Visit <iterator>|Visitar <iterator>
Visit Spinning Top in <location> while starving|Visitar a Peonza en <location> mientras te mueres de hambre
